treatment,weight,eaten,eaten pollen,time,convert,alive,status
T3,107.7 ,125 ,3.75 ,93.0 ,0.8616 ,1 ,0
T3,116.7 ,135 ,4.05 ,93.0 ,0.8644 ,1 ,0
T3,96.0 ,110 ,3.30 ,76.0 ,0.8727 ,1 ,0
T3,123.3 ,125 ,3.75 ,76.0 ,0.9864 ,1 ,0
T3,110.0 ,135 ,4.05 ,84.0 ,0.8148 ,1 ,0
T3,115.0 ,135 ,4.05 ,93.0 ,0.8519 ,1 ,0
T3,116.9 ,130 ,3.90 ,79.0 ,0.8992 ,1 ,0
T3,113.8 ,125 ,3.75 ,76.0 ,0.9104 ,1 ,0
T3,91.8 ,115 ,3.45 ,79.0 ,0.7983 ,1 ,0
T3,113.0 ,125 ,3.75 ,73.0 ,0.9040 ,1 ,0
T3,114.5 ,145 ,4.35 ,93.0 ,0.7897 ,1 ,0
T3,108.7 ,125 ,3.75 ,73.0 ,0.8696 ,1 ,0
T3,,100 ,3.00 ,73.0 ,,0 ,1
T3,113.5 ,115 ,3.45 ,69.0 ,0.9870 ,1 ,0
T3,104.4 ,130 ,3.90 ,93.0 ,0.8031 ,1 ,0
T3,112.1 ,125 ,3.75 ,76.0 ,0.8968 ,1 ,0
T3,105.0 ,115 ,3.45 ,73.0 ,0.9130 ,1 ,0
T3,129.7 ,130 ,3.90 ,69.0 ,0.9977 ,1 ,0
T3,110.8 ,120 ,3.60 ,76.0 ,0.9233 ,1 ,0
T3,,140 ,4.20 ,97.0 ,,1 ,0
T3,,85 ,2.55 ,69.0 ,,0 ,1
T3,,130 ,3.90 ,69.0 ,,1 ,0
T3,127.0 ,125 ,3.75 ,69.0 ,1.0160 ,1 ,0
T4,,75 ,2.25 ,49.0 ,,0 ,1
T4,,140 ,4.20 ,69.0 ,,1 ,0
T4,122.3 ,125 ,3.75 ,69.0 ,0.9784 ,1 ,0
T4,,40 ,1.20 ,49.0 ,,0 ,1
T4,116.7 ,135 ,4.05 ,84.0 ,0.8644 ,1 ,0
T4,,115 ,3.45 ,76.0 ,,1 ,0
T4,120.0 ,125 ,3.75 ,69.0 ,0.9600 ,1 ,0
T4,115.5 ,120 ,3.60 ,69.0 ,0.9625 ,1 ,0
T4,127.7 ,130 ,3.90 ,69.0 ,0.9823 ,1 ,0
T4,,135 ,4.05 ,69.0 ,,1 ,0
T4,131.5 ,135 ,4.05 ,69.0 ,0.9741 ,1 ,0
T4,133.0 ,105 ,3.15 ,49.0 ,1.2667 ,1 ,0
T4,125.2 ,125 ,3.75 ,69.0 ,1.0016 ,1 ,0
T4,118.1 ,130 ,3.90 ,79.0 ,0.9085 ,1 ,0
T4,120.4 ,160 ,4.80 ,93.0 ,0.7525 ,1 ,0
T4,112.0 ,115 ,3.45 ,69.0 ,0.9739 ,1 ,0
T4,,115 ,3.45 ,69.0 ,,1 ,0
T4,118.2 ,125 ,3.75 ,69.0 ,0.9456 ,1 ,0
T4,135.4 ,140 ,4.20 ,69.0 ,0.9671 ,1 ,0
T4,,125 ,3.75 ,73.0 ,,1 ,0
T4,,120 ,3.60 ,69.0 ,,1 ,0
T4,135.9 ,135 ,4.05 ,69.0 ,1.0067 ,1 ,0
T4,124.6 ,130 ,3.90 ,69.0 ,0.9585 ,1 ,0
T4,117.0 ,115 ,3.45 ,69.0 ,1.0174 ,1 ,0
T4,95.8 ,115 ,3.45 ,73.0 ,0.8330 ,1 ,0
T4,116.8 ,135 ,4.05 ,76.0 ,0.8652 ,1 ,0
T4,,130 ,3.90 ,76.0 ,,1 ,0
T4,111.5 ,125 ,3.75 ,69.0 ,0.8920 ,1 ,0
T4,120.2 ,125 ,3.75 ,69.0 ,0.9616 ,1 ,0
